PDB_file, description
ak2_seed-0_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=0 sample=0 template=off
ak2_seed-0_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=0 sample=1 template=off
ak2_seed-0_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=0 sample=2 template=off
ak2_seed-0_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=0 sample=3 template=off
ak2_seed-0_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=0 sample=4 template=off
ak2_seed-1_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=1 sample=0 template=off
ak2_seed-1_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=1 sample=1 template=off
ak2_seed-1_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=1 sample=2 template=off
ak2_seed-1_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=1 sample=3 template=off
ak2_seed-1_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=1 sample=4 template=off
ak2_seed-2_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=2 sample=0 template=off
ak2_seed-2_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=2 sample=1 template=off
ak2_seed-2_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=2 sample=2 template=off
ak2_seed-2_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=2 sample=3 template=off
ak2_seed-2_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=2 sample=4 template=off
ak2_seed-3_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=3 sample=0 template=off
ak2_seed-3_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=3 sample=1 template=off
ak2_seed-3_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=3 sample=2 template=off
ak2_seed-3_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=3 sample=3 template=off
ak2_seed-3_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=3 sample=4 template=off
ak2_seed-4_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=4 sample=0 template=off
ak2_seed-4_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=4 sample=1 template=off
